time,way1,way2,way3,way4,way5,way6
1,39.418,37.819,37.266,61.632,60.653999999999996,64.196
2,36.133,40.132,41.58,56.558,55.35,61.071000000000005
3,32.693000000000005,42.559,42.29,58.965,58.168,64.99
4,35.664,42.4,43.113,61.016999999999996,59.66,64.197
5,36.551,43.36600000000001,40.7,55.177,54.438,62.163999999999994
6,31.39,45.345,45.501000000000005,58.965,55.93,62.008
7,34.986999999999995,39.794000000000004,43.903999999999996,59.044,56.676,67.765
8,36.865,42.188,45.858000000000004,57.251999999999995,58.168,62.816
9,36.29,52.083,46.909,59.99100000000001,55.184,62.338
10,33.891999999999996,48.831,40.376,65.835,59.66,66.02
11,37.854,50.163999999999994,43.103,59.659,58.913999999999994,63.907
12,37.542,43.15,42.543,63.477,57.422,61.88399999999999
13,34.83,41.158,39.62,59.478,56.676,63.042
14,35.664,43.043,44.073,58.199,54.438,62.456
15,41.29600000000001,53.473,41.143,59.888999999999996,60.653999999999996,64.469
16,41.464,39.828,48.461000000000006,60.504,58.913999999999994,62.581
17,28.43,38.298,44.346000000000004,61.119,57.123999999999995,63.206
18,29.893,44.47,40.141,65.42399999999999,62.06,68.471
19,46.192,54.369,43.63399999999999,53.87,54.604,60.336999999999996
20,39.106,46.809,45.437,62.76,58.168,64.023
21,40.359,43.825,36.681,60.196000000000005,55.333999999999996,58.485
22,36.604,54.262,43.97,55.632,55.632,60.838
23,49.431000000000004,55.54,47.332,65.835,62.641999999999996,67.089
24,51.528999999999996,61.031000000000006,51.821000000000005,59.556999999999995,58.913999999999994,66.554
25,43.801,32.82,42.088,52.035,50.742,57.512
26,35.007,28.7,42.474,59.902,48.523999999999994,57.367
27,33.808,37.589,36.063,58.965,54.306000000000004,63.36600000000001
28,29.406,44.875,47.018,57.735,56.842,68.265
29,32.352,47.276,45.232,62.76,57.918,64.712
30,36.134,47.195,32.85,60.297,56.842,58.007
31,38.637,43.166000000000004,41.988,62.769,58.83,64.565
32,28.515,42.32899999999999,38.273,55.038999999999994,52.143,54.978
33,33.575,45.5,37.085,54.941,51.04,60.628
34,35.195,48.159,45.754,63.091,55.184,63.857
35,35.664,45.825,40.988,52.308,48.571999999999996,58.416000000000004
36,31.598000000000003,46.593999999999994,42.201,63.593999999999994,55.35,66.34100000000001
37,37.385,45.088,40.189,64.605,52.98,62.205
38,34.726,42.785,42.832,60.504,49.3,63.424
39,33.058,39.493,38.89,63.247,51.273999999999994,61.738
40,33.266,40.699,41.489,61.016999999999996,54.438,65.649
41,28.085,42.506,45.14,63.101000000000006,49.416000000000004,63.173
42,28.835,39.044000000000004,40.78,57.505,51.19,61.592
43,29.014,43.501999999999995,39.672,57.071000000000005,49.88,61.592
44,26.219,32.069,33.650999999999996,52.99,45.588,56.703
45,21.35,27.644000000000002,35.082,44.878,38.029,56.244
46,18.345,24.976,35.571999999999996,42.576,36.539,53.137
47,16.774,16.415,32.86,21.982,20.695,41.38399999999999
48,13.689,10.677,25.201999999999998,19.792,14.935,26.026999999999997
49,14.140999999999998,13.794,24.482,22.266,18.746,29.281
50,15.532,13.219000000000001,22.59,23.881999999999998,17.712,25.183000000000003
51,11.75,8.57,19.656,18.717,14.752,17.206
52,13.144,9.914,19.56,18.557000000000002,13.94,17.769000000000002
53,10.953,10.585999999999999,24.785,18.055,15.097999999999999,21.424
54,12.044,12.380999999999998,35.074,22.319000000000003,22.320999999999998,45.585
55,8.855,13.883,32.5,30.578000000000003,35.687,55.346000000000004
56,8.327,9.76,28.236,36.887,35.528,52.463
57,10.282,8.363999999999999,30.978,45.125,41.195,53.473
58,9.934,13.172,33.128,54.23,51.04,60.122
59,8.761000000000001,14.217,33.667,41.996,43.552,52.604
60,15.299000000000001,28.936,35.257,45.316,46.052,56.868
61,17.262,28.127,38.123000000000005,50.25,50.46,58.118
62,13.922,22.23,35.149,51.316,51.04,60.111999999999995
63,16.835,23.62,30.905,52.556000000000004,47.096000000000004,60.191
64,12.232000000000001,19.262999999999998,31.868000000000002,52.494,45.588,58.818999999999996
65,11.315,13.434000000000001,31.171,51.8,48.256,58.95
66,9.591000000000001,10.729000000000001,30.523000000000003,52.122,44.163999999999994,56.727
67,10.445,8.39,31.4,47.242,46.632,58.45
68,11.085999999999999,12.98,35.043,50.2,49.416000000000004,58.135
69,12.225,26.154,37.604,50.571999999999996,49.3,58.773999999999994
70,12.915999999999999,19.218,37.654,52.928000000000004,52.2,59.623999999999995
71,18.441,29.729,34.099000000000004,53.858000000000004,49.88,59.652
72,22.65,30.820999999999998,37.207,53.79600000000001,52.2,60.338
73,14.578,23.125999999999998,33.298,54.23,51.62,59.428000000000004
74,19.831,30.631999999999998,32.869,55.098,51.321999999999996,59.604
75,21.313000000000002,31.671,35.579,52.928000000000004,49.996,59.623999999999995
76,22.926,32.445,33.177,57.93899999999999,51.156000000000006,63.032
77,20.172,27.427,35.477,55.532,54.023999999999994,60.826
78,14.745999999999999,21.715,32.012,55.098,51.206,59.282
79,17.117,25.473000000000003,31.677,53.79600000000001,48.72,58.61600000000001
80,18.02,27.398000000000003,31.386999999999997,52.928000000000004,47.096000000000004,58.607
81,19.37,26.660999999999998,31.273000000000003,52.494,48.72,57.795
82,20.203,26.553,33.495,52.928000000000004,52.2,57.97
83,20.613000000000003,25.978,30.151,49.184,48.14,57.108000000000004
84,23.035999999999998,26.688000000000002,31.09,48.67,47.328,57.042
85,23.794,32.838,34.492,51.316,49.88,58.266000000000005
86,18.055999999999997,27.846,34.279,51.316,49.88,57.233999999999995
