time,date,ISE,ISE.1,SP,DAX,FTSE,NIKKEI,BOVESPA,EU,EM
0,2009/1/5,0.035753707999999995,0.038376187,-0.004679315,0.002193419,0.0038943759999999997,0.0,0.031190229,0.012698039,0.028524462
1,2009/1/6,0.025425872999999998,0.031812743,0.0077867380000000005,0.008455341,0.012865611,0.0041624520000000005,0.01891958,0.011340652,0.008772644
2,2009/1/7,-0.02886173,-0.026352966000000002,-0.030469134,-0.017833062,-0.028734593,0.017292932,-0.035898576,-0.017072795,-0.020015412
3,2009/1/8,-0.062208079000000006,-0.084715902,0.0033913640000000004,-0.011726277,-0.00046599900000000004,-0.040061308999999996,0.028283152000000002,-0.005560959,-0.019423778
4,2009/1/9,0.009859905,0.009658112,-0.021533207999999998,-0.019872754,-0.012709716999999999,-0.004473502,-0.00976388,-0.010988633999999999,-0.007802211999999999
5,2009/1/12,-0.029191027999999997,-0.042361155,-0.022822626000000002,-0.013525735,-0.0050255329999999996,-0.049038532,-0.053849474,-0.012451259,-0.022629745
6,2009/1/13,0.015445348000000001,-0.000272183,0.0017565520000000002,-0.017673622,-0.006141454,0.0,0.00357202,-0.012220196000000001,-0.004827138
7,2009/1/14,-0.041167612,-0.03555248,-0.034032484,-0.047383437,-0.050945198,0.0029123540000000002,-0.040301613,-0.045220199,-0.008676646
8,2009/1/15,0.000661905,-0.017267843999999997,0.001328305,-0.019550621,-0.014334659,-0.050447588,0.030313602000000002,-0.012070424,-0.023428729
9,2009/1/16,0.022037345,0.032278032000000005,0.007533125999999999,0.00679078,0.006289177,0.025453186000000003,0.004866685999999999,0.008560858000000001,0.010916893
10,2009/1/19,-0.022692465,-0.044348781,-0.054261984000000006,-0.011549904,-0.009351296,0.003238918,-0.013151015,-0.012045182,-0.004029004
11,2009/1/20,-0.013708703999999999,-0.029661366,0.0,-0.017833593000000002,-0.004170789,-0.023411498,-0.040899261,-0.015088013,-0.024107193
12,2009/1/21,0.000864697,0.00152943,0.042572032999999995,0.005011186,-0.0077288669999999995,-0.020561328,0.033532127,-0.0033385629999999997,-0.005092242
13,2009/1/22,-0.00381506,0.005043164,-0.015278458,-0.009841399,-0.001898399,0.018817884,-0.016981713,-0.00655222,-0.003227249
14,2009/1/23,0.00566126,-0.010007954,0.0053632359999999995,-0.009640052,7.4e-05,-0.038808465,0.006261035999999999,-0.003620056,-0.008077319
15,2009/1/26,0.046831302000000005,0.061708175999999997,0.005537856,0.034786791,0.037891115,-0.008181598,0.009838155999999999,0.032799581,0.010319685
16,2009/1/27,-0.006634978000000001,0.01094866,0.010866312,-0.0007976610000000001,-0.003474788,0.048148147999999995,0.00492178,-0.0026418059999999996,0.0063444980000000005
17,2009/1/28,0.034566982,0.03587086,0.033006834,0.044182012,0.023747817999999997,0.0055940009999999995,0.038724652000000005,0.029974200000000003,0.022104102999999996
18,2009/1/29,-0.020528213,-0.020271848000000002,-0.033681051000000004,-0.020255911,-0.02477352,0.017723189,-0.014750158000000001,-0.023108586,0.00040869699999999997
19,2009/1/30,-0.008776701,-0.023458255,-0.02305281,-0.020478765,-0.009712656,-0.031665977000000005,-0.00853829,-0.007201303,0.002242539
20,2009/2/2,-0.025919141,-0.035607493999999996,-0.000532907,-0.015636734,-0.017454317,-0.015133862,-0.016289303,-0.019739293999999998,-0.019091385
21,2009/2/3,0.015279487,0.022402817999999998,0.01570993,0.02404002,0.021038592999999998,-0.0061747419999999996,0.027573706,0.017862273999999997,0.012718686000000002
22,2009/2/4,0.018577796,0.023230767000000003,-0.007517662,0.026576513,0.015274748999999999,0.026908323999999997,0.009564898,0.018769962,0.015165588999999998
23,2009/2/5,-0.014132879,-0.014571381000000001,0.016233194,0.003931905,7.09e-05,-0.011169331000000001,0.024127811000000002,-0.004139094,0.002072505
24,2009/2/6,0.036607044,0.042758925999999996,0.026540681,0.029305917999999997,0.014787613,0.015845566000000002,0.039282461,0.019126668,0.032338114
25,2009/2/9,0.011353209,0.021467637,0.001484047,0.0047661840000000006,0.003651379,-0.013410688999999998,-0.015461796000000002,0.0056271590000000005,0.007895394
26,2009/2/10,-0.040542021,-0.043906874000000005,-0.05036862,-0.035170147,-0.022182186,-0.002901673,-0.021439596000000002,-0.024387752999999998,-0.002139095
27,2009/2/11,-0.022105644,-0.033893469,0.007923456,0.005434056,0.005019305999999999,-0.030744916,-0.008799248,0.001097418,-0.007925996999999999
28,2009/2/12,-0.014888368,-0.020825038,0.001737641,-0.027420557999999998,-0.007609828000000001,0.0,-0.008482232,-0.014092175,-0.014772748
29,2009/2/13,0.007026745,0.009709195,-0.010048038,0.0013218529999999998,-0.003002934,0.009563024,0.028550767999999997,0.0030319329999999997,0.017764444
30,2009/2/16,-0.011494996,-0.024629091000000002,-0.046629446,-0.045613985999999995,-0.013166303999999998,-0.003764436,0.003999287,-0.012721713,-0.006850441
31,2009/2/17,-0.041136038,-0.050687495,0.0,0.0,-0.024655731,-0.013596231,-0.0488296,-0.030934994,-0.038322771
32,2009/2/18,-0.0026314990000000003,-0.012101138,-0.000950817,-0.002764335,-0.006790310999999999,-0.014634038,-0.004351059,-0.003303102,-0.0033422609999999996
33,2009/2/19,0.024654642999999997,0.032923209,-0.012096922,0.002434631,0.0028908959999999996,0.0030757859999999996,0.001410509,0.00256948,0.006764498000000001
34,2009/2/20,-0.03584061,-0.04977568,-0.011478573,-0.048746751,-0.032706045,-0.018869228000000002,-0.025879448,-0.037924005,-0.027294442000000002
35,2009/2/23,0.017303168,0.029566248,-0.035315356,-0.019673358999999998,-0.009922818,-0.00543789,-0.012554261,-0.012159595,0.00967787
36,2009/2/24,0.001725406,-0.004151655,0.039320053,-0.010393086999999999,-0.00894738,-0.01469498,0.0,-0.009447032,-0.011881112
37,2009/2/25,0.004975853,0.010197804,-0.010715038,-0.012797967,0.008505804,0.026160742,0.0,-0.000994183,0.006099364
38,2009/2/26,0.000671759,-0.000812008,-0.015905668,0.024757229,0.017155200000000002,-0.00044104400000000003,-0.001361043,0.020902648,-0.002331164
39,2009/2/27,-0.005891895,-0.009518450999999999,-0.023846497999999997,-0.025399626,-0.022077662,0.014706431,7.859999999999999e-05,-0.018261438,-0.006150131
40,2009/3/2,-0.013689038999999998,-0.031323951,-0.047741862999999995,-0.035395107,-0.054815959000000004,-0.038832861,-0.052364888,-0.048816774,-0.035364882
41,2009/3/3,0.002192959,0.004122949,-0.006427392,-0.005229183,-0.031860804,-0.006951158000000001,0.006409661,-0.020299096000000003,0.0012903069999999999
42,2009/3/4,0.007913215,0.00272274,0.02347539,0.052829213,0.037389099,0.008434917,0.051674378,0.03654846,0.030311506000000002
43,2009/3/5,-0.03852223,-0.043381574000000006,-0.043463290999999994,-0.051537615999999994,-0.032333707,0.019360241,-0.027268057999999998,-0.037465202999999996,-0.008671838000000001
44,2009/3/6,0.007958798000000001,-0.019234871,0.001215289,-0.007900176,0.00022661,-0.035657548,-0.0070897519999999995,-0.01117204,-0.0020976470000000002
45,2009/3/9,-0.007133473,-0.016436982,-0.010074281,0.006963461,0.0033083120000000003,-0.012212678000000001,-0.009858434000000001,-0.000177944,-0.0055583640000000005
46,2009/3/10,0.011234009,0.021882653,0.06171871,0.051456064,0.047628049000000006,-0.00439149,0.054398075,0.050459269,0.024909953999999998
47,2009/3/11,-0.0014103610000000002,0.024432446,0.002442817,0.006952911,-0.005776774,0.044514005,0.000257732,0.003950464,0.01281572
48,2009/3/12,0.010974423999999998,0.0027419109999999997,0.039921068,0.010703606000000001,0.004942016,-0.024409814,0.008902402,0.009801190999999999,0.005419475
49,2009/3/13,0.0032132529999999997,0.034066676000000004,0.007709238,-0.000662468,0.011144266000000002,0.05026001,-0.0035053190000000002,0.006193885,0.018689238
50,2009/3/16,0.000214245,0.0056094759999999995,-0.003522156,0.022741267000000003,0.028960896,0.017661193999999998,-0.01051258,0.026677664,0.010253879
