var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t)
0,2.100107037,1.745028441,-0.378031752,0.101255718,0.267647217,-0.020740696,1.922674218,0.942175628,2.629644992,0.001869159,1.464512413,1.433997363,0.507353469,0.531818159,0.977179158,0.259818564,1.142884386,0.83758341,0.74696853
0.001869159,1.464512413,1.433997363,0.507353469,0.531818159,0.977179158,0.259818564,1.142884386,0.83758341,0.74696853,0.003738318,-1.876450012,-1.322382237,-2.209720145,-1.275741718,-2.312966902,1.144844444,-2.340765147,-1.351788853,-1.997011563
0.003738318,-1.876450012,-1.322382237,-2.209720145,-1.275741718,-2.312966902,1.144844444,-2.340765147,-1.351788853,-1.997011563,0.005607477,-3.928647803,-4.088108107,0.19517774,-0.855846316,-0.077213366,-2.720969115,1.737931823,-0.464754822,-1.940619012
0.005607477,-3.928647803,-4.088108107,0.19517774,-0.855846316,-0.077213366,-2.720969115,1.737931823,-0.464754822,-1.940619012,0.007476636,0.506553112,0.384124956,-1.575057608,-1.415988557,-1.04556488,-0.322265472,-0.679926327,-0.882979372,-0.832890662
0.007476636,0.506553112,0.384124956,-1.575057608,-1.415988557,-1.04556488,-0.322265472,-0.679926327,-0.882979372,-0.832890662,0.009345794,-1.896715637,-2.080984622,-1.666636847,-0.979574946,-0.437825368,-3.326055501,-3.481530215,-0.995680609,-2.246200939
0.009345794,-1.896715637,-2.080984622,-1.666636847,-0.979574946,-0.437825368,-3.326055501,-3.481530215,-0.995680609,-2.246200939,0.011214953,0.850291906,-0.086455787,0.079067342,-1.26477881,-0.526083182,-0.020740696,0.167559345,-0.97787626,-0.549316675
0.011214953,0.850291906,-0.086455787,0.079067342,-1.26477881,-0.526083182,-0.020740696,0.167559345,-0.97787626,-0.549316675,0.013084112,-2.633777414,-1.758332441,-2.462802449,-3.307590979,-4.069596137,0.175558957,-2.620574592,-3.520661416,-0.916238753
0.013084112,-2.633777414,-1.758332441,-2.462802449,-3.307590979,-4.069596137,0.175558957,-2.620574592,-3.520661416,-0.916238753,0.014953271,-0.059509316,-0.891852886,0.048651655,-1.393839068,-1.174080993,-3.421029259,1.86696528,-0.966335715,-2.32235739
0.014953271,-0.059509316,-0.891852886,0.048651655,-1.393839068,-1.174080993,-3.421029259,1.86696528,-0.966335715,-2.32235739,0.01682243,1.255975949,1.456046662,0.489341006,0.41736489,0.457051218,1.694865157,0.249834324,0.623388917,0.95135109
0.01682243,1.255975949,1.456046662,0.489341006,0.41736489,0.457051218,1.694865157,0.249834324,0.623388917,0.95135109,0.018691589,-1.4967817,-2.175175028,-3.899576408,-0.843719115,-0.7799485,0.197570154,-0.895176021,-0.964390716,-0.473241242
